CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
,05/13/2024 11:05:00 AM,24-023534,VANDALISM,26Y,1045 76TH AVE,Oakland,CA,POINT (-122.190320996 37.754816985)
,05/09/2024 10:00:00 PM,24-907761,ATTEMPT VEHICLE THEFT-AUTO,22Y,5000 REDWOOD ROAD,Oakland,CA,POINT (-122.175110913 37.796085256)
,04/04/2024 12:00:00 PM,24-906089,BURGLARY-AUTO,08X,539 39TH ST,Oakland,CA,POINT (-122.265484036 37.828196985)
STOLEN VEHICLE,04/25/2024 10:30:00 AM,24-021425,VEHICLE THEFT - AUTO,26Y,5817 TEVIS ST,Oakland,CA,POINT (-122.203190989 37.762986993)
THREATS,03/31/2024 09:54:00 PM,24-016074,THREAT CRIME:INT:TERRORIZE,22Y,2937 GEORGIA ST,Oakland,CA,POINT (-122.206927977 37.796914004)
STOLEN VEHICLE,04/07/2024 08:30:00 PM,24-017697,VEHICLE THEFT - AUTO,02Y,1731 CHASE ST,Oakland,CA,POINT (-122.300957005 37.808386985)
,06/07/2024 01:35:00 AM,24-028124,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,23X,3511 E12TH ST,Oakland,CA,POINT (-122.223026165 37.775485443)
,06/06/2024 12:04:00 PM,24-027996,VEHICLE THEFT - AUTO,04X,1515 WEBSTER ST,Oakland,CA,POINT (-122.26839197 37.804721998)
,05/15/2024 10:44:00 PM,24-024050,ASSAULT WITH FIREARM ON PERSON,21X,2467 E. 21ST ST,Oakland,CA,POINT (-122.228476006 37.786527987)
,05/15/2024 05:06:00 AM,24-023896,BURGLARY-FORCIBLE ENTRY,09X,4220 BROADWAY,Oakland,CA,POINT (-122.254652019 37.830138988)
,05/07/2024 05:00:00 PM,24-022758,VANDALISM:DAMAGE PROPERTY,13Z,1944 MOUNTAIN BLVD,Oakland,CA,POINT (-122.210563692 37.828472778)
,03/14/2024 04:05:00 PM,24-905728,VANDALISM,04X,1428 JACKSON ST,Oakland,CA,POINT (-122.264615 37.802400001)
,05/14/2024 10:00:00 AM,24-023978,THEFT BY FORGED/INVALID ACCESS CARD [OVER $400]-FEL,31Y,8475 EDES AV,Oakland,CA,POINT (-122.194553019 37.739629982)
,04/25/2024 08:55:00 AM,24-019002,POSSESS CONTROLLED SUBSTANCE,31X,8000 COLLINS DR,Oakland,CA,POINT (-122.198251185 37.745802725)
ROBBERY,05/24/2024 04:48:00 PM,24-025662,CARJACKING WITH FIREARM,15X,606 PROSPECT AV,Oakland,CA,POINT (-122.24542304 37.807196001)
,05/10/2024 03:00:00 PM,24-023135,VANDALISM-$400+,02Y,1004 WOOD ST,Oakland,CA,POINT (-122.299868028 37.810425003)
,04/03/2024 12:00:00 AM,24-016814,PETTY THEFT:$50-,18X,2000 BLOCK OF 22ND AVE,Oakland,CA,POINT (-122.233305289 37.789295002)
MISDEMEANOR ASSAULT,05/30/2024 07:10:00 AM,24-027346,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,77X,3883 TURQUOISE WY,Oakland,CA,POINT (-122.26617898 37.82785802)
,05/10/2024 01:00:00 AM,24-907476,GRAND THEFT,,85TH AVE,Oakland,CA,POINT (-122.167319964 37.758325892)
DOMESTIC VIOLENCE,04/16/2024 01:31:00 AM,24-018588,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,08X,2855 BROADWAY,Oakland,CA,POINT (-122.263657033 37.816980992)
STOLEN VEHICLE,06/01/2024 08:45:00 PM,24-027281,VEHICLE THEFT - AUTO,01X,155 4TH ST,Oakland,CA,POINT (-122.268266508 37.794539952)
,04/09/2024 11:00:00 AM,24-907278,THEFT,04X,1560 ALICE ST,Oakland,CA,POINT (-122.264722037 37.80457301)
,04/05/2024 06:00:00 PM,24-016947,BURGLARY-AUTO,35X,8431 DOWLING ST,Oakland,CA,POINT (-122.167391581 37.758978912)
,05/11/2024 09:30:00 PM,24-023468,VEHICLE THEFT - AUTO,21Y,3825 LA CRESTA PL,Oakland,CA,POINT (-122.219812974 37.803087988)
,05/24/2024 06:02:00 PM,24-025841,BATTERY,04X,500 WILLIAM ST,Oakland,CA,POINT (-122.270738986 37.809416995)
,03/20/2024 06:00:00 PM,24-014184,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",34X,8300 BLOCK OF BIRCH ST.,Oakland,CA,POINT (-122.173027316 37.757116994)
,04/25/2024 06:30:00 PM,24-907568,BURGLARY-NO FORCE,16Y,4027 ELSTON AVE,Oakland,CA,POINT (-122.221020973 37.805111002)
,05/22/2024 04:37:00 AM,24-025219,BURGLARY-FORCIBLE ENTRY,24X,3464 FOOTHILL BLVD,Oakland,CA,POINT (-122.218970006 37.782707013)
,06/09/2024 05:00:00 PM,24-028630,VEHICLE THEFT - AUTO,30X,1801 70TH AVE,Oakland,CA,POINT (-122.185445997 37.763174999)
FELONY ASSAULT,03/28/2024 12:58:00 AM,24-015493,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,77X,15400 SKYLINE BLVD,Oakland,CA,POINT (-122.175427684 37.80819743)
,04/28/2024 03:30:00 AM,24-020827,CARJACKING WITH KNIFE,26Y,7500 BLOCK OF HAMILTON ST,Oakland,CA,POINT (-122.189387298 37.755620783)
OTHER,03/30/2024 05:15:00 AM,24-015844,SC UNEXPLAINED DEATH,05X,1005 21ST ST,Oakland,CA,POINT (-122.281721962 37.813700986)
DOMESTIC VIOLENCE,05/30/2024 12:00:00 AM,24-026720,FALSE IMPRISONMENT W/VIOLENCE/ETC,32Y,10715 MACARTHUR BLVD,Oakland,CA,POINT (-122.151435 37.741795991)
,04/12/2024 10:39:00 AM,24-017973,POSS STOLEN VEH/VES/ETC,26X,1200 BLK 47TH AVE,Oakland,CA,POINT (-122.211773917 37.769979233)
,06/10/2024 09:05:00 AM,24-028796,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,30X,7918 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.181563616 37.756690566)
VANDALISM,03/17/2024 07:54:00 AM,24-013448,VANDALISM-$400+,07X,3417 HAVEN ST,Oakland,CA,POINT (-122.283421979 37.826447011)
,05/08/2024 10:08:00 AM,24-022675,RAPE BY FORCE/FEAR/ETC,32X,9826 C ST,Oakland,CA,POINT (-122.174175019 37.741872979)
ROBBERY,05/12/2024 11:00:00 AM,24-023374,ROBBERY-FIREARM,32X,10111 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.16908997 37.741821011)
,05/16/2024 09:45:00 PM,24-024188,MAL SET/ETC FIRE PROP/ETC,19X,16T H AV&INTERNATIONAL BLVD,Oakland,CA,POINT (-122.244187967 37.788333994)
,06/09/2024 06:00:00 PM,24-028810,VEHICLE THEFT - AUTO,22X,3466 CHAMPION ST,Oakland,CA,POINT (-122.215050227 37.79978086)
,03/21/2024 04:25:00 PM,24-906052,VANDALISM,08X,415 36TH ST,Oakland,CA,POINT (-122.262358005 37.823625998)
,04/21/2024 01:39:00 AM,24-019569,ATTEMPT VEHICLE THEFT-AUTO,18X,2053 20TH AVE AVE,Oakland,CA,POINT (-122.235431846 37.790692484)
,05/22/2024 12:10:00 AM,24-025203,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,04X,1701 MARTINE LUTHER KING JR WAY,Oakland,CA,POINT (-122.274880988 37.808451987)
STOLEN VEHICLE,03/27/2024 10:00:00 AM,24-016038,VEHICLE THEFT - AUTO,03X,125 12TH ST,Oakland,CA,POINT (-122.264314006 37.799634015)
,05/15/2024 12:40:00 PM,24-023937,VEHICLE THEFT - AUTO,27Y,55T H  & BANCROFT AVE,Oakland,CA,POINT (-122.197275964 37.771642021)
FELONY ASSAULT,05/30/2024 09:50:00 PM,24-026875,ASSAULT WITH FIREARM ON PERSON,32X,10151 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.168630977 37.741305985)
,03/31/2024 05:24:00 AM,24-015975,THREAT CRIME:INT:TERRORIZE,30Y,2651 73RD AV,Oakland,CA,POINT (-122.174599095 37.767716318)
,05/24/2024 07:55:00 PM,24-025688,DUI ALCOHOL/0.08 PERCENT,24X,4000 FOOTHILL BLVD,Oakland,CA,POINT (-122.215009975 37.77779702)
,04/17/2024 04:10:00 AM,24-018923,BURGLARY-AUTO,12X,BROADWAY&MATHER ST,Oakland,CA,POINT (-122.254292016 37.831266982)
STOLEN VEHICLE,03/23/2024 01:00:00 PM,24-014976,VEHICLE THEFT - AUTO,20X,2660 E 16TH ST,Oakland,CA,POINT (-122.229825995 37.782754999)
,04/19/2024 04:35:00 PM,24-908179,BATTERY AGAINST POLICE OFFICER,03X,1000 OAK ST,Oakland,CA,POINT (-122.263337012 37.798611004)
,05/21/2024 08:20:00 AM,24-025039,VEHICLE THEFT - AUTO,33X,978 91ST,Oakland,CA,POINT (-122.180379975 37.746022985)
DOMESTIC VIOLENCE,05/06/2024 08:09:00 AM,24-022227,VANDALISM $400 OR MORE,07X,3238 LINDEN ST,Oakland,CA,POINT (-122.278566826 37.82384448)
VANDALISM,03/30/2024 03:30:00 AM,24-906702,VANDALISM,05Y,1410 WOOD ST,Oakland,CA,POINT (-122.297374998 37.813440979)
MISDEMEANOR ASSAULT,04/29/2024 01:25:00 PM,24-021073,BATTERY,21X,2798 FOOTHILL BLVD,Oakland,CA,POINT (-122.225477967 37.784575004)
,05/21/2024 04:25:00 AM,24-025019,ATTEMPTED BURGLARY,22X,2129 MACARTHUR BLVD,Oakland,CA,POINT (-122.216961715 37.800507425)
,05/14/2024 06:44:00 PM,24-023879,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,20X,1653 25TH AV,Oakland,CA,POINT (-122.231154024 37.784355985)
,04/09/2024 04:00:00 PM,24-017529,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,99X,151 LELAND AVE,Oakland,CA,POINT (-122.258872289 37.813455214)
,05/17/2024 11:00:00 AM,24-024388,VANDALISM:DAMAGE PROPERTY,30X,7326 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.186452999 37.759188985)
,03/29/2024 03:40:00 PM,24-905937,BURGLARY-AUTO,19X,1018 4TH AVE,Oakland,CA,POINT (-122.256799965 37.794637982)
VANDALISM,04/02/2024 06:50:00 AM,24-906739,VANDALISM,20X,3090 GLASCOCK ST,Oakland,CA,POINT (-122.230949002 37.771282982)
FELONY ASSAULT,04/07/2024 01:30:00 AM,24-017018,ASSAULT WITH FIREARM ON PERSON,32X,98TH AV & SAN LEANDRO ST,Oakland,CA,POINT (-122.179713027 37.739182011)
BURG - COMMERCIAL,04/20/2024 03:30:00 AM,24-019429,BURGLARY-FORCIBLE ENTRY,20X,2520 E 12TH ST,Oakland,CA,POINT (-122.234245018 37.781435981)
WEAPONS,04/02/2024 06:00:00 PM,24-016358,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,19X,1200 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.247930637 37.790600278)
BURG - COMMERCIAL,04/15/2024 12:20:00 PM,24-018477,ATTEMPTED BURGLARY,08X,400 30TH ST,Oakland,CA,POINT (-122.26482899 37.819277005)
,05/09/2024 09:18:00 PM,24-022952,DISORDERLY CONDUCT:PROSTITUTION,17X,1100 FOOTHILL BLVD,Oakland,CA,POINT (-122.246914652 37.792654461)
DISORDERLY CONDUCT,03/15/2024 10:20:00 PM,24-014106,DISTURB THE PEACE,10Y,1000 42ND ST,Oakland,CA,POINT (-122.27648696 37.833194988)
,05/30/2024 03:58:00 AM,24-026731,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,18X,1902 FOOTHILL BLVD,Oakland,CA,POINT (-122.239325328 37.788118259)
,05/05/2024 06:16:00 PM,24-022113,DUI ALCOHOL/DRUGS,23X,4000 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.217837448 37.773912043)
,04/22/2024 07:30:00 PM,24-908277,VANDALISM,08X,2415 VALDEZ ST,Oakland,CA,POINT (-122.264055005 37.81360099)
,04/08/2024 03:20:00 PM,24-907642,VANDALISM,14Y,455 CRESCENT ST,Oakland,CA,POINT (-122.250197959 37.814028006)
MISDEMEANOR ASSAULT,04/18/2024 08:51:00 PM,24-019236,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,35X,2338 92ND AV,Oakland,CA,POINT (-122.163407571 37.7534496)
,05/06/2024 06:39:00 PM,24-022335,ROBBERY-FIREARM,31X,1 HEGENBERGER RD,Oakland,CA,POINT (-122.203981989 37.729032993)
,05/01/2024 04:13:00 PM,24-021452,ROBBERY-FIREARM,10X,5823 OCCIDENTAL ST,Oakland,CA,POINT (-122.275794252 37.842937818)
VANDALISM,03/24/2024 11:17:00 AM,24-014745,VANDALISM,23X,3451 E 12TH ST,Oakland,CA,POINT (-122.223557002 37.775489985)
,04/12/2024 01:04:00 PM,24-018003,BATTERY,29X,6018 MACARTHUR BLVD,Oakland,CA,POINT (-122.182679957 37.77582123)
STOLEN VEHICLE,04/04/2024 06:00:00 PM,24-016837,VEHICLE THEFT - AUTO,16Y,3701 ELSTON AV,Oakland,CA,POINT (-122.221458006 37.801656987)
,04/21/2024 08:28:00 PM,24-019696,VANDALISM,20X,3070 9TH ST,Oakland,CA,POINT (-122.230069335 37.774192598)
MISDEMEANOR ASSAULT,04/11/2024 08:30:00 AM,24-017777,BATTERY,06X,664 30TH ST,Oakland,CA,POINT (-122.271427979 37.819886998)
MISDEMEANOR ASSAULT,03/27/2024 11:39:00 PM,24-015485,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,32X,9825 PLYMOUTH ST,Oakland,CA,POINT (-122.166983491 37.745469115)
OTHER,04/01/2024 12:00:00 AM,24-016155,CRUELTY TO ANIMALS,32X,1200 101ST AV,Oakland,CA,POINT (-122.172492017 37.739787017)
,03/26/2024 03:20:00 AM,24-906292,VANDALISM,,BROADWAY ST/ 15TH ST.,Oakland,CA,POINT (-122.277145092 37.794952243)
,04/25/2024 10:00:00 AM,24-908423,VANDALISM,03Y,475 14TH ST,Oakland,CA,POINT (-122.272385025 37.804518988)
,05/26/2024 10:45:00 AM,24-025910,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,33X,9113 D ST,Oakland,CA,POINT (-122.179149008 37.746503017)
,05/21/2024 09:55:00 AM,24-907899,BURGLARY-AUTO,12X,4918 WEBSTER ST,Oakland,CA,POINT (-122.259516037 37.835854985)
RECOVERED VEHICLE - OAKLAND STOLEN,03/19/2024 05:30:00 PM,24-014046,VEHICLE THEFT - AUTO,15X,600 CLEVELAND AV,Oakland,CA,POINT (-122.308543968 37.893752981)
THREATS,03/30/2024 03:37:00 PM,24-015905,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,18X,2206 E 21ST ST,Oakland,CA,POINT (-122.232912274 37.78954738)
FELONY ASSAULT,05/19/2024 01:00:00 AM,24-024825,ASSAULT WITH FIREARM ON PERSON,18X,1701 E 19TH ST,Oakland,CA,POINT (-122.23996297 37.791000464)
,05/01/2024 02:15:00 PM,24-907174,BURGLARY-AUTO,,2777 MIDDLE HARBOR ROAD,Oakland,CA,POINT (-122.306098162 37.799151139)
GRAND THEFT,03/31/2024 02:40:00 AM,24-906695,GRAND THEFT,08X,2701 TELEGRAPH AV,Oakland,CA,POINT (-122.268232965 37.816445012)
FELONY ASSAULT,04/16/2024 03:04:00 AM,24-018594,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,17X,1800 11TH AV,Oakland,CA,POINT (-122.244882994 37.793953013)
HOMICIDE,03/23/2024 05:48:00 AM,24-014573,MURDER,19X,2200 E 12TH ST,Oakland,CA,POINT (-122.238123995 37.783816987)
,05/22/2024 10:59:00 AM,24-025298,BATTERY,08X,3030 WEBER ST,Oakland,CA,POINT (-122.26910257 37.769689092)
VANDALISM,05/30/2024 08:30:00 PM,24-027037,VANDALISM,24Y,2461 HUMBOLDT AV,Oakland,CA,POINT (-122.212977029 37.78891398)
BURG - AUTO,03/16/2024 12:00:00 PM,24-905148,BURGLARY-AUTO,08X,2450 VALDEZ ST,Oakland,CA,POINT (-122.263518865 37.814137921)
,05/26/2024 11:12:00 AM,24-025902,VEHICLE THEFT - AUTO,26X,1251 51ST  AVE,Oakland,CA,POINT (-122.20910702 37.768146013)
PETTY THEFT,05/11/2024 02:00:00 PM,24-025406,THEFT,10Y,894 41ST ST,Oakland,CA,POINT (-122.273392026 37.83166198)
PETTY THEFT,05/15/2024 08:15:00 AM,24-024150,THEFT,29X,6150 MONADNOCK WY,Oakland,CA,POINT (-122.180699996 37.775732012)
,05/11/2024 05:00:00 PM,24-023370,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,21Y,3031 PLEITNER AV,Oakland,CA,POINT (-122.212788017 37.792744007)
MISDEMEANOR ASSAULT,05/31/2024 08:27:00 PM,24-027060,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,23X,1835 38TH AV,Oakland,CA,POINT (-122.217616719 37.777931452)
,04/16/2024 07:30:00 AM,24-906335,GRAND THEFT,19X,200 E 15TH ST,Oakland,CA,POINT (-122.254970028 37.79860698)
VANDALISM,03/29/2024 08:34:00 AM,24-015730,VANDALISM,11X,5814 SHATTUCK AV,Oakland,CA,POINT (-122.264896273 37.843756518)
,03/21/2024 09:20:00 AM,24-905654,BURGLARY-AUTO,08X,400 24TH ST,Oakland,CA,POINT (-122.265624741 37.813472048)
,04/05/2024 09:05:00 AM,24-016746,ANNOYING REPEATED PHONE CALLS:RESIDENCE,08X,100 GRAND AV,Oakland,CA,POINT (-122.265295975 37.811476092)
FELONY ASSAULT,05/02/2024 08:37:00 PM,24-021652,THEFT,31X,449 HEGENBERGER RD,Oakland,CA,POINT (-122.197507975 37.736640995)
,06/10/2024 10:15:00 AM,24-028803,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT:W/SPEC PRIOR,34X,1932 82ND AVE,Oakland,CA,POINT (-122.173149997 37.758499993)
,05/10/2024 05:30:00 PM,24-023254,BURGLARY-FORCIBLE ENTRY,11X,5205 TELEGRAPH AVENUE,Oakland,CA,POINT (-122.262513992 37.838226016)
ROBBERY,03/19/2024 02:00:00 PM,24-013965,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",30X,7625 BANCROFT AV,Oakland,CA,POINT (-122.174911034 37.763970987)
,05/14/2024 06:00:00 PM,24-908140,VANDALISM,09X,4242 BROADWAY,Oakland,CA,POINT (-122.254281036 37.830702)
,04/26/2024 12:40:00 PM,24-020455,FALSE IMPRISONMENT W/VIOLENCE/ETC,22Y,3342 KANSAS ST,Oakland,CA,POINT (-122.199976026 37.79562801)
,03/30/2024 11:05:00 PM,24-906088,BURGLARY-AUTO,20X,1204 FRUITVALE AVE,Oakland,CA,POINT (-122.226199984 37.776430979)
,05/14/2024 02:46:00 PM,24-023826,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,20X,2445 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.234218513 37.782231069)
,05/21/2024 04:00:00 AM,24-025033,VEHICLE THEFT - AUTO,23X,1215 HIGH ST,Oakland,CA,POINT (-122.216069029 37.771683008)
,06/05/2024 12:30:00 PM,24-028070,THEFT,18Y,2926 21ST AV,Oakland,CA,POINT (-122.228145167 37.796405206)
,05/11/2024 10:41:00 PM,24-023351,THREAT CRIME:INT:TERRORIZE,29X,5650 BANCROFT AV,Oakland,CA,POINT (-122.194931964 37.771553005)
,04/25/2024 09:00:00 PM,24-020436,VANDALISM,14X,433 PERKINS ST,Oakland,CA,POINT (-122.256137963 37.809732993)
,04/20/2024 09:50:00 PM,24-908270,VANDALISM,14Y,418 SANTA CLARA AVE,Oakland,CA,POINT (-122.248461983 37.812281008)
,05/21/2024 03:00:00 AM,24-025209,RAPE BY FORCE/FEAR/ETC,13X,UNKNOWN,Oakland,CA,POINT (-122.27248 37.804828)
,03/26/2024 03:50:00 PM,24-907287,MAKE/PASS FICTITIOUS CHECK,,OAKLAND AVE,Oakland,CA,POINT (-122.253652099 37.818999982)
THREATS,04/29/2024 12:55:00 PM,24-021095,CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER/ETC,15X,479 MERRITT AV,Oakland,CA,POINT (-122.248909996 37.806813995)
,04/24/2024 11:02:00 AM,24-020153,TAMPER WITH VEHICLE,05Y,ADMIRAL TONEY WY & MARITIME ST,Oakland,CA,POINT (-122.30216073 37.821007617)
,03/20/2024 10:45:00 AM,24-905641,BURGLARY-AUTO,21X,2123 25TH AVE,Oakland,CA,POINT (-122.227970996 37.787111997)
RECOVERED O/S STOLEN,05/20/2024 03:55:00 PM,24-024923,VEHICLE THEFT - AUTO,27Y,5921 E 16TH ST,Oakland,CA,POINT (-122.197885999 37.765594017)
DOMESTIC VIOLENCE,05/16/2024 09:36:00 AM,24-024097,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,32Y,2828 OLIVER AV,Oakland,CA,POINT (-122.151202989 37.74794001)
MISDEMEANOR ASSAULT,04/06/2024 11:15:00 PM,24-017008,BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC,31X,7000 COLISEUM WY,Oakland,CA,POINT (-122.201306989 37.751257987)
RECOVERED VEHICLE - OAKLAND STOLEN,04/22/2024 07:47:00 PM,24-019872,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,16X,3250 LAKESHORE AV,Oakland,CA,POINT (-122.244249993 37.809737016)
OTHER,05/08/2024 09:00:00 PM,24-022830,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31Y,8400 EDES AV,Oakland,CA,POINT (-122.194768014 37.742048999)
,04/14/2024 06:01:00 PM,24-018376,VEHICLE THEFT - AUTO,28X,4606 REDDING ST,Oakland,CA,POINT (-122.192662983 37.784511008)
,05/05/2024 02:30:00 PM,24-022071,VEHICLE THEFT - AUTO,31Y,9600 BLOCK OF RAILROAD AV,Oakland,CA,POINT (-122.18267475 37.738498409)
,05/01/2024 07:40:00 PM,24-021480,BATTERY W/SERIOUS BODILY INJURY,02X,719 ADELINE ST,Oakland,CA,POINT (-122.288171951 37.804144103)
,04/24/2024 04:50:00 PM,24-907794,VANDALISM,09X,4500 GILBERT ST,Oakland,CA,POINT (-122.250575983 37.832853006)
,03/29/2024 10:00:00 AM,24-906542,VANDALISM,14X,600 GRAND AVE,Oakland,CA,POINT (-122.24979303 37.809733999)
DUI,05/18/2024 10:30:00 PM,24-024631,DUI ALCOHOL/DRUGS,18Y,2600 14TH AV,Oakland,CA,POINT (-122.233921376 37.796243745)
,05/09/2024 09:30:00 AM,24-907401,BURGLARY-AUTO,22Y,3549 ROBINSON DRIVE,Oakland,CA,POINT (-122.182588019 37.804482988)
,05/12/2024 03:13:00 PM,24-023406,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,08X,516 31ST ST,Oakland,CA,POINT (-122.267460992 37.820292012)
,06/08/2024 11:21:00 PM,24-028420,DUI ALCOHOL/DRUGS,30X,1606 73RD AV,Oakland,CA,POINT (-122.184794975 37.760418988)
THREATS,03/25/2024 04:57:00 AM,24-014856,VANDALISM:DAMAGE PROPERTY,02X,1018 POPLAR ST,Oakland,CA,POINT (-122.288851168 37.808694275)
,05/24/2024 04:04:00 PM,24-908331,BURGLARY-AUTO,30Y,7914 MICHIGAN AVE,Oakland,CA,POINT (-122.162007011 37.767607015)
,04/24/2024 05:36:00 PM,24-020221,BATTERY,04X,1519 ALICE ST,Oakland,CA,POINT (-122.265672964 37.804330982)
ROBBERY,03/15/2024 11:10:00 AM,24-013176,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",31X,7273 OAKPORT ST,Oakland,CA,POINT (-122.204942974 37.748248003)
,05/13/2024 08:25:00 PM,24-023704,VEHICLE THEFT - AUTO,03Y,455 7TH ST,Oakland,CA,POINT (-122.275068994 37.799400998)
,06/09/2024 01:09:00 AM,24-028429,BRANDISHING FIREARM REPLICA,26X,580 JULIE ANN WY,Oakland,CA,POINT (-122.209892991 37.757965982)
NARCOTICS,05/13/2024 02:40:00 PM,24-023624,POSS CONTROLLED SUBSTANCE WHILE ARMED W/LOADED FIREARM,30X,1900 73RD AV,Oakland,CA,POINT (-122.182520272 37.762050881)
STOLEN VEHICLE,03/24/2024 05:30:00 PM,24-015023,VEHICLE THEFT - AUTO,23X,3701 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.220887031 37.774913017)
,03/20/2024 08:55:00 PM,24-906127,BURGLARY-NO FORCE,27Y,5600 INTERNATIONAL BOULEVARD,Oakland,CA,POINT (-122.201774028 37.766474997)
,04/18/2024 02:38:00 PM,24-907325,THEFT,14X,230 BAY PLACE,Oakland,CA,POINT (-122.260699981 37.813011994)
FELONY ASSAULT,04/11/2024 02:02:00 AM,24-017745,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,19X,1125 E 11TH ST,Oakland,CA,POINT (-122.250669465 37.789839946)
FELONY ASSAULT,05/25/2024 02:22:00 AM,24-025717,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,10X,6235 HERZOG ST,Oakland,CA,POINT (-122.283370012 37.845681006)
OTHER,03/26/2024 10:00:00 AM,24-015125,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,03X,125 14TH ST,Oakland,CA,POINT (-122.263743031 37.800977006)
,06/07/2024 06:50:00 PM,24-028242,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,02Y,7TH ST & FRONTAGE RD,Oakland,CA,POINT (-122.304184959 37.807861985)
,04/23/2024 04:45:00 PM,24-908478,VANDALISM,28X,2906 HIGH ST,Oakland,CA,POINT (-122.201324004 37.783656012)
STOLEN VEHICLE,04/04/2024 03:30:00 AM,24-016600,VEHICLE THEFT - AUTO,35X,8601 MACARTHUR BLVD,Oakland,CA,POINT (-122.163167988 37.758401003)
THREATS,04/24/2024 11:36:00 PM,24-020262,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,21Y,2825 COOLIDGE AV,Oakland,CA,POINT (-122.216187968 37.790368995)
,05/23/2024 02:30:00 PM,24-025468,ROBBERY-FIREARM,17X,1955 10TH AV,Oakland,CA,POINT (-122.244449985 37.796096014)
,04/06/2024 05:00:00 PM,24-020742,VEHICLE THEFT - AUTO,20X,2615 E 12TH ST,Oakland,CA,POINT (-122.232758991 37.779350019)
,05/04/2024 10:53:00 AM,24-021900,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,02X,1223 8TH ST,Oakland,CA,POINT (-122.289517554 37.805162063)
STOLEN VEHICLE,04/05/2024 03:17:00 AM,24-016718,VIOLATION OF PROBATION-MISD,19X,1500 E 15TH ST,Oakland,CA,POINT (-122.243745989 37.790126003)
,05/23/2024 02:30:00 AM,24-025417,VEHICLE THEFT - AUTO,35Y,10718 FALLBROOK WY,Oakland,CA,POINT (-122.129151962 37.753333011)
,06/08/2024 03:00:00 PM,24-028378,ROBBERY-FIREARM,22X,CHAMPION ST. & MACARTHUR BLVD,Oakland,CA,POINT (-122.215613975 37.800210983)
STOLEN VEHICLE,03/19/2024 11:59:00 AM,24-013931,VEHICLE THEFT - AUTO,18X,2000 E 20TH ST,Oakland,CA,POINT (-122.235957341 37.790027378)
STOLEN VEHICLE,03/31/2024 11:15:00 PM,24-016115,VEHICLE THEFT - AUTO,02X,825 UNION ST,Oakland,CA,POINT (-122.289925015 37.805937414)
ROBBERY,04/09/2024 04:43:00 PM,24-017538,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,09X,3845 HARRISON ST,Oakland,CA,POINT (-122.251064983 37.821702979)
FORCIBLE RAPE,03/31/2024 09:00:00 PM,24-016397,RAPE BY FORCE/FEAR/ETC,29X,6625 HILLMONT DR,Oakland,CA,POINT (-122.170908005 37.77571902)
